parameter,BAT,E,FA,H,Kbh,Khe,Ktrans,TR,Th,duration,field_strength,kbh,khe,n0,study,ve,visit
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,0.0,-80.06866070608525,0.0,0.0,-61.193983429328064,-89.3359270258879,-80.06866070608525,0.0,176.52892877295878,0.0,0.0,-61.19398342932806,-89.3359270258879,0.0,0.0,0.0,100.0
std,0.0,3.3140075748899043,0.0,0.0,11.74215377457502,2.4616565682652434,3.3140075748899007,0.0,76.38104440134089,0.0,0.0,11.742153774575014,2.461656568265243,0.0,0.0,0.0,0.0
min,0.0,-84.54519231730997,0.0,0.0,-72.66469442578163,-92.18206742710859,-84.54519231730997,0.0,74.35246000756537,0.0,0.0,-72.66469442578162,-92.18206742710858,0.0,0.0,0.0,100.0
25%,0.0,-82.34263892000573,0.0,0.0,-69.92813060860712,-90.9301914634278,-82.34263892000573,0.0,125.11434179297503,0.0,0.0,-69.9281306086071,-90.93019146342782,0.0,0.0,0.0,100.0
50%,0.0,-79.73329395895223,0.0,0.0,-64.04754521694385,-89.2763384882042,-79.73329395895223,0.0,178.16476971025216,0.0,0.0,-64.04754521694383,-89.27633848820422,0.0,0.0,0.0,100.0
75%,0.0,-78.15724282856317,0.0,0.0,-54.91504183294213,-88.805237887273,-78.15724282856317,0.0,235.96627630889677,0.0,0.0,-54.91504183294213,-88.805237887273,0.0,0.0,0.0,100.0
max,0.0,-75.55587097584008,0.0,0.0,-42.644915938862646,-85.15113760967883,-75.5558709758401,0.0,265.8272622140218,0.0,0.0,-42.644915938862646,-85.15113760967883,0.0,0.0,0.0,100.0
