parameter,BAT,E,FA,H,Kbh,Khe,Ktrans,TR,Th,duration,field_strength,kbh,khe,n0,study,ve,visit
count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
mean,0.0,2.8573563628080554,0.0,0.0,-8.497851130910123,5.737988813519999,2.857356362808067,0.0,13.255033033388392,0.0,0.0,-8.497851130910114,5.737988813519997,0.0,0.0,0.0,100.0
std,0.0,11.504523026240358,0.0,0.0,20.919176171563187,23.482269414134553,11.504523026240376,0.0,26.263812053526678,0.0,0.0,20.919176171563198,23.482269414134546,0.0,0.0,0.0,0.0
min,0.0,-5.089615308265378,0.0,0.0,-29.039973369643338,-10.918232298046672,-5.089615308265377,0.0,-11.33102550632253,0.0,0.0,-29.039973369643327,-10.918232298046675,0.0,0.0,0.0,100.0
25%,0.0,-3.738840996802142,0.0,0.0,-19.136286426812383,-7.690847904723481,-3.738840996802141,0.0,-0.5796562498938531,0.0,0.0,-19.136286426812376,-7.690847904723482,0.0,0.0,0.0,100.0
50%,0.0,-2.388066685338906,0.0,0.0,-9.232599483981422,-4.46346351140029,-2.388066685338905,0.0,10.171713006534825,0.0,0.0,-9.232599483981424,-4.463463511400288,0.0,0.0,0.0,100.0
75%,0.0,6.830842198344772,0.0,0.0,1.7732099884564825,14.066099369303334,6.830842198344788,0.0,25.54806230324385,0.0,0.0,1.773209988456495,14.06609936930333,0.0,0.0,0.0,100.0
max,0.0,16.04975108202845,0.0,0.0,12.77901946089439,32.59566225000696,16.049751082028482,0.0,40.924411599952876,0.0,0.0,12.779019460894412,32.59566225000695,0.0,0.0,0.0,100.0
