parameter,BAT,E,FA,H,Kbh,Khe,Ktrans,TR,Th,duration,field_strength,kbh,khe,n0,study,ve,visit
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,0.0,-35.189841748049474,0.0,0.0,-42.64940217957164,-55.553735119282074,-35.189841748049474,0.0,78.88946089323802,0.0,0.0,-42.64940217957164,-55.55373511928207,0.0,0.0,0.0,100.0
std,0.0,5.779463007587385,0.0,0.0,10.729914003970087,5.974140660722231,5.779463007587375,0.0,32.57248727401222,0.0,0.0,10.729914003970086,5.9741406607222265,0.0,0.0,0.0,0.0
min,0.0,-43.04924962864756,0.0,0.0,-54.162026400386964,-63.41429555581766,-43.049249628647544,0.0,40.16112614808968,0.0,0.0,-54.162026400386964,-63.414295555817645,0.0,0.0,0.0,100.0
25%,0.0,-37.103536433055645,0.0,0.0,-48.434939642974435,-58.21202114241243,-37.103536433055645,0.0,62.71317811843112,0.0,0.0,-48.43493964297443,-58.21202114241244,0.0,0.0,0.0,100.0
50%,0.0,-34.21294038000437,0.0,0.0,-43.89102051583413,-54.67423154968628,-34.212940380004376,0.0,78.61849310418776,0.0,0.0,-43.89102051583412,-54.67423154968628,0.0,0.0,0.0,100.0
75%,0.0,-32.2992456949982,0.0,0.0,-38.10548305243133,-52.01594552655592,-32.2992456949982,0.0,94.79477587899467,0.0,0.0,-38.10548305243133,-52.01594552655591,0.0,0.0,0.0,100.0
max,0.0,-29.28423660354158,0.0,0.0,-28.65354128623135,-49.45218182193806,-29.28423660354159,0.0,118.15973121648688,0.0,0.0,-28.653541286231356,-49.45218182193806,0.0,0.0,0.0,100.0
