parameter,BAT,E,FA,H,Kbh,Khe,Ktrans,TR,Th,duration,field_strength,kbh,khe,n0,study,ve,visit
count,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
mean,0.0,-9.740194152822179,0.0,0.0,-24.47196076079992,-16.1770872682464,-9.740194152822175,0.0,37.143072128130534,0.0,0.0,-24.47196076079993,-16.1770872682464,0.0,0.0,0.0,100.0
std,0.0,18.407608381582246,0.0,0.0,13.582224439741871,27.147969324981293,18.40760838158224,0.0,31.981276350109688,0.0,0.0,13.58222443974187,27.147969324981293,0.0,0.0,0.0,0.0
min,0.0,-46.39971925814027,0.0,0.0,-50.12120788618762,-68.2478100389512,-46.39971925814027,0.0,12.478358906434,0.0,0.0,-50.12120788618762,-68.2478100389512,0.0,0.0,0.0,100.0
25%,0.0,-7.720956698296364,0.0,0.0,-24.45950111010538,-17.611871568088578,-7.720956698296361,0.0,20.83352634678229,0.0,0.0,-24.45950111010538,-17.61187156808858,0.0,0.0,0.0,100.0
50%,0.0,-3.2757086886543,0.0,0.0,-22.567315228075024,-8.470829947256528,-3.2757086886542703,0.0,29.20744386271241,0.0,0.0,-22.567315228075024,-8.470829947256528,0.0,0.0,0.0,100.0
75%,0.0,0.5598827310026773,0.0,0.0,-17.185594656622648,1.2049219888712912,0.559882731002669,0.0,32.379577905562016,0.0,0.0,-17.185594656622648,1.2049219888712974,0.0,0.0,0.0,100.0
max,0.0,1.8742645491378516,0.0,0.0,-11.0940086855412,4.355659131437881,1.8742645491378338,0.0,100.48600970894022,0.0,0.0,-11.09400868554121,4.355659131437878,0.0,0.0,0.0,100.0
