parameter,BAT,E,FA,H,Kbh,Khe,Ktrans,TR,Th,duration,field_strength,kbh,khe,n0,study,ve,visit
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,-1.653860066059974,0.0,0.0,-17.393588886056452,-2.876202895171414,-1.653860066059967,0.0,22.738055498646474,0.0,0.0,-17.393588886056445,-2.876202895171414,0.0,0.0,0.0,100.0
std,0.0,6.050280113583826,0.0,0.0,11.014183657535886,11.118949579098452,6.050280113583815,0.0,15.856351404226803,0.0,0.0,11.014183657535886,11.118949579098459,0.0,0.0,0.0,0.0
min,0.0,-11.218494804243656,0.0,0.0,-29.28749212424999,-19.668023418562818,-11.218494804243644,0.0,1.2362171606125718,0.0,0.0,-29.287492124249994,-19.66802341856283,0.0,0.0,0.0,100.0
25%,0.0,-2.4882638111430104,0.0,0.0,-25.86559258021433,-5.6538713646177525,-2.4882638111429674,0.0,16.800091817141933,0.0,0.0,-25.86559258021433,-5.65387136461775,0.0,0.0,0.0,100.0
50%,0.0,-0.6573337479034674,0.0,0.0,-16.21010933074394,-1.4047048383344676,-0.6573337479034678,0.0,19.346139732691764,0.0,0.0,-16.21010933074393,-1.4047048383344676,0.0,0.0,0.0,100.0
75%,0.0,0.9203783489225624,0.0,0.0,-14.383628947350106,1.7620366363068243,0.9203783489225623,0.0,34.890131964973506,0.0,0.0,-14.383628947350097,1.7620366363068236,0.0,0.0,0.0,100.0
max,0.0,5.1744136840677,0.0,0.0,-1.2211214477238856,10.583548509351145,5.174413684067683,0.0,41.4176968178126,0.0,0.0,-1.2211214477238868,10.583548509351152,0.0,0.0,0.0,100.0
