parameter,BAT,E,FA,H,Kbh,Khe,Ktrans,TR,Th,duration,field_strength,kbh,khe,n0,study,ve,visit
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,-13.629731222428228,0.0,0.0,-30.197042167672,-21.61648695432928,-13.629731222428223,0.0,55.71764331915629,0.0,0.0,-30.197042167672,-21.616486954329282,0.0,0.0,0.0,100.0
std,0.0,16.78765766426427,0.0,0.0,19.824104526459344,26.24460127777527,16.787657664264273,0.0,56.13371582484519,0.0,0.0,19.824104526459347,26.24460127777527,0.0,0.0,0.0,0.0
min,0.0,-37.327484051313334,0.0,0.0,-59.90937274428622,-54.97651754672901,-37.327484051313334,0.0,11.036112592353724,0.0,0.0,-59.90937274428623,-54.97651754672902,0.0,0.0,0.0,100.0
25%,0.0,-23.430491058240698,0.0,0.0,-39.26911731659407,-41.577107051107575,-23.43049105824068,0.0,21.07744285549236,0.0,0.0,-39.26911731659406,-41.577107051107575,0.0,0.0,0.0,100.0
50%,0.0,-8.849799140071925,0.0,0.0,-24.45927802893293,-14.959140711678362,-8.849799140071921,0.0,32.37893071541081,0.0,0.0,-24.459278028932932,-14.95914071167836,0.0,0.0,0.0,100.0
75%,0.0,-3.4199728848496327,0.0,0.0,-17.408232581066795,-5.7261430573844665,-3.4199728848496576,0.0,64.6608703537318,0.0,0.0,-17.408232581066805,-5.726143057384463,0.0,0.0,0.0,100.0
max,0.0,4.87909102233445,0.0,0.0,-9.939210167479967,9.156473595253017,4.879091022334485,0.0,149.43486007879275,0.0,0.0,-9.939210167479956,9.156473595253006,0.0,0.0,0.0,100.0
