parameter,BAT,E,FA,H,Kbh,Khe,Ktrans,TR,Th,duration,field_strength,kbh,khe,n0,study,ve,visit
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,-33.801766808907544,0.0,0.0,-10.525561942082387,-46.76646468117622,-33.80176680890754,0.0,20.1483254340197,0.0,0.0,-10.525561942082396,-46.76646468117622,0.0,0.0,0.0,100.0
std,0.0,19.61378271050662,0.0,0.0,23.634707845102938,20.487912879934445,19.613782710506612,0.0,40.559069971208054,0.0,0.0,23.634707845102923,20.487912879934445,0.0,0.0,0.0,0.0
min,0.0,-60.67829303939757,0.0,0.0,-47.10526142689357,-75.00272936029145,-60.67829303939756,0.0,-11.156487049155254,0.0,0.0,-47.10526142689356,-75.00272936029145,0.0,0.0,0.0,100.0
25%,0.0,-46.712854886629785,0.0,0.0,-17.302452989753803,-58.32010655143249,-46.71285488662976,0.0,-6.626372021853714,0.0,0.0,-17.302452989753814,-58.32010655143249,0.0,0.0,0.0,100.0
50%,0.0,-29.48862835377907,0.0,0.0,-7.874174043562064,-45.57516555471317,-29.48862835377907,0.0,8.547195058294948,0.0,0.0,-7.874174043562061,-45.575165554713166,0.0,0.0,0.0,100.0
75%,0.0,-17.048309709667315,0.0,0.0,7.096620496961513,-28.44173064535627,-17.048309709667297,0.0,20.922571001543783,0.0,0.0,7.096620496961497,-28.44173064535627,0.0,0.0,0.0,100.0
max,0.0,-15.08074805506398,0.0,0.0,12.557458252835982,-26.4925912940877,-15.08074805506398,0.0,89.05472018126873,0.0,0.0,12.557458252835968,-26.492591294087703,0.0,0.0,0.0,100.0
